"day_index","ensemble_1","ensemble_2","ensemble_3","ensemble_4","ensemble_5","ensemble_6","ensemble_7","ensemble_8","ensemble_9","ensemble_10","ensemble_11","ensemble_12","ensemble_13","ensemble_14","ensemble_15","ensemble_16","ensemble_17","ensemble_18","ensemble_19","ensemble_20","ensemble_21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
1,294.200012207031,296.100006103516,295.100006103516,295.899993896484,294.899993896484,295.799987792969,295.100006103516,295.600006103516,293.200012207031,296.5,294.100006103516,296.100006103516,294.100006103516,296,294,296.100006103516,293.299987792969,296.399993896484,294.299987792969,295.799987792969,293.899993896484,295.700012207031,294.200012207031,296.799987792969,295.399993896484,296.100006103516,293.600006103516,295.299987792969,294.700012207031,296.700012207031,294.5,296.799987792969,293.600006103516,295.600006103516,294.020904541016,297.200012207031,293.100006103516,295.399993896484,293.200012207031,296.299987792969,294.799987792969,295.200012207031
1,296.299987792969,285.899993896484,296.600006103516,286.299987792969,296.299987792969,285.899993896484,296.100006103516,285.899993896484,295.899993896484,286.799987792969,296.399993896484,286,296.100006103516,285.899993896484,295.899993896484,285.899993896484,296.100006103516,285.899993896484,296,285.200012207031,296.299987792969,284.899993896484,296.200012207031,286.299987792969,296.5,285.700012207031,296.200012207031,285.399993896484,296.5,286.5,296.399993896484,285.899993896484,296.100006103516,285.799987792969,296.5,286.299987792969,296.100006103516,284.799987792969,296.299987792969,286.200012207031,296,285.299987792969
1,285.899993896484,285.100006103516,286.5,286,286,285.100006103516,285.600006103516,285.799987792969,285.399993896484,286,285.399993896484,285.600006103516,286,284.5,285,284.799987792969,285.299987792969,285.5,285.799987792969,284.299987792969,286.299987792969,284,285.399993896484,285.700012207031,286.299987792969,285.299987792969,286,284.5,286.600006103516,285.5,286,285.5,285.899993896484,285.200012207031,285.299987792969,286.5,285.799987792969,283.799987792969,285.899993896484,285.700012207031,285,284.700012207031
1,285.5,292.700012207031,286.899993896484,293.700012207031,285.200012207031,293.700012207031,285.100006103516,289.700012207031,284.5,293,284.799987792969,292.700012207031,286.5,293.5,284.700012207031,293,283.700012207031,293.100006103516,285,293.399993896484,285.299987792969,292.899993896484,285.700012207031,293,285.799987792969,292.399993896484,285.600006103516,292.600006103516,285.299987792969,293.399993896484,285.899993896484,294.399993896484,285.5,293.700012207031,284,293.100006103516,285.600006103516,292.5,284.799987792969,293.700012207031,284.899993896484,293.200012207031
2,293.700012207031,290.799987792969,294.299987792969,290.200012207031,293.299987792969,290.600006103516,293.600006103516,291.5,293.200012207031,292.299987792969,293.700012207031,291.600006103516,290.200012207031,290.200012207031,293.100006103516,292.899993896484,293.700012207031,289.600006103516,292.799987792969,291,291.799987792969,289.299987792969,294,293.100006103516,294.399993896484,290.399993896484,293.799987792969,290.399993896484,292,291.700012207031,293.299987792969,292,293.299987792969,290.5,294.399993896484,290.700012207031,293.899993896484,292,293.200012207031,290.700012207031,293.799987792969,292.5
2,290.200012207031,288.100006103516,289.899993896484,288.299987792969,293.299987792969,287.200012207031,291.100006103516,287.899993896484,289.399993896484,288.299987792969,290.200012207031,288,289.299987792969,287.299987792969,291.399993896484,287.299987792969,289.899993896484,287.399993896484,289.5,288.100006103516,290.399993896484,287.5,289.200012207031,288.5,290.899993896484,287.799987792969,289.200012207031,287.799987792969,289.700012207031,288,293.299987792969,288.100006103516,291.399993896484,287.700012207031,292.600006103516,287.299987792969,290.200012207031,287.899993896484,289.899993896484,287.799987792969,292.5,287.399993896484
2,287.600006103516,284.299987792969,287.600006103516,284.200012207031,289,285.299987792969,287.200012207031,285.200012207031,287.600006103516,285.399993896484,286.5,286.600006103516,287.299987792969,286.799987792969,288.100006103516,287.200012207031,287.399993896484,285.700012207031,287.600006103516,287,287.700012207031,283.100006103516,287.600006103516,285.899993896484,287.700012207031,285,287.5,286.799987792969,286.899993896484,287.299987792969,288.100006103516,286.700012207031,287.299987792969,285.799987792969,287.700012207031,286.399993896484,287.200012207031,284.200012207031,287.200012207031,286.799987792969,288.100006103516,286.899993896484
2,284.899993896484,283.600006103516,284.299987792969,279.299987792969,287,279.200012207031,285.399993896484,285.700012207031,284.600006103516,279.600006103516,286,285.200012207031,281.399993896484,286.200012207031,285.200012207031,287.600006103516,285.600006103516,286.700012207031,285.200012207031,287.5,286.200012207031,286.299987792969,284.700012207031,280.899993896484,286.600006103516,277.799987792969,283.100006103516,288.899993896484,284.100006103516,288.799987792969,285.600006103516,282.600006103516,285,284.200012207031,284.899993896484,281.700012207031,285.200012207031,278.799987792969,285,282.600006103516,284.799987792969,287.600006103516
3,282.5,278.299987792969,276.799987792969,280.799987792969,286.799987792969,277.700012207031,280.200012207031,279.700012207031,281.799987792969,277.899993896484,286.200012207031,278.799987792969,282.399993896484,279.5,278.899993896484,278.5,281.899993896484,278.100006103516,282.100006103516,280.600006103516,283,278.200012207031,280.799987792969,279.299987792969,281.799987792969,280.799987792969,283,279,282.100006103516,279.700012207031,282.899993896484,278.399993896484,279.299987792969,278.600006103516,282.600006103516,277.700012207031,282.899993896484,278.5,283.799987792969,278.399993896484,278.899993896484,279.600006103516
3,277.799987792969,278.5,277.799987792969,277.299987792969,279.700012207031,277.799987792969,278.899993896484,279,279.600006103516,277.899993896484,279.700012207031,278.700012207031,277.899993896484,279.200012207031,278.899993896484,279.700012207031,277.600006103516,278.299987792969,277.899993896484,280.100006103516,278.100006103516,278.600006103516,278,279.100006103516,278.600006103516,277.5,278,280.299987792969,278.399993896484,279.700012207031,277.399993896484,278.100006103516,278.600006103516,278.299987792969,279,277.799987792969,277.399993896484,277.200012207031,278.299987792969,277.799987792969,277.799987792969,278.899993896484
